pitch,roll,y,z,spot
1.15055,-0.27734,4.678174,1.650872,0
1.1508,-0.27744,4.678174,1.650872,0
1.15106,-0.27742,4.678174,1.650872,0
1.15143,-0.27789,4.678174,1.650872,0
1.15182,-0.27878,4.678174,1.650872,0
1.15211,-0.27954,4.678174,1.650872,0
1.15225,-0.27983,4.678174,1.650872,0
1.15233,-0.27989,4.678174,1.650872,0
1.15237,-0.28009,4.678174,1.650872,0
1.15236,-0.28021,4.678174,1.650872,0
1.15239,-0.2803,4.678174,1.650872,0
1.15244,-0.27989,4.678174,1.650872,0
1.15258,-0.27927,4.678174,1.650872,0
1.15265,-0.27876,4.678174,1.650872,0
1.15266,-0.27823,4.678174,1.650872,0
1.15242,-0.27793,4.678174,1.650872,0
1.15212,-0.27793,4.678174,1.650872,0
1.15187,-0.27876,4.678174,1.650872,0
1.15187,-0.27959,4.678174,1.650872,0
1.15209,-0.2798,4.678174,1.650872,0
1.15245,-0.28036,4.678174,1.650872,0
1.15293,-0.28104,4.678174,1.650872,0
1.15344,-0.28159,4.678174,1.650872,0
1.15379,-0.28182,4.678174,1.650872,0
1.15392,-0.28263,4.678174,1.650872,0
1.15401,-0.28341,4.678174,1.650872,0
1.15403,-0.28396,4.678174,1.650872,0
1.15408,-0.28466,4.678174,1.650872,0
1.15433,-0.28494,4.678174,1.650872,0
1.15449,-0.28481,4.678174,1.650872,0
1.15475,-0.28447,4.678174,1.650872,0
1.15688,-0.27832,4.678174,1.650872,0
1.15705,-0.2779,4.678174,1.650872,0
1.1573,-0.27721,4.678174,1.650872,0
1.15739,-0.27647,4.678174,1.650872,0
1.1571,-0.27567,4.678174,1.650872,0
1.15651,-0.27476,4.678174,1.650872,0
1.15572,-0.27355,4.678174,1.650872,0
1.15521,-0.2734,4.678174,1.650872,0
1.15508,-0.27321,4.678174,1.650872,0
1.15517,-0.2734,4.678174,1.650872,0
1.15553,-0.27383,4.678174,1.650872,0
1.15615,-0.27459,4.678174,1.650872,0
1.15674,-0.27534,4.678174,1.650872,0
1.15726,-0.27571,4.678174,1.650872,0
1.1575,-0.27602,4.678174,1.650872,0
1.15773,-0.27675,4.678174,1.650872,0
1.15783,-0.27724,4.678174,1.650872,0
1.1578,-0.27748,4.678174,1.650872,0
1.15758,-0.27795,4.678174,1.650872,0
1.15743,-0.27796,4.678174,1.650872,0
1.15733,-0.27744,4.678174,1.650872,0
1.15738,-0.27701,4.678174,1.650872,0
1.15761,-0.27647,4.678174,1.650872,0
1.15807,-0.27622,4.678174,1.650872,0
1.15845,-0.27598,4.678174,1.650872,0
1.15894,-0.27598,4.678174,1.650872,0
1.15937,-0.27558,4.678174,1.650872,0
1.1597,-0.27482,4.678174,1.650872,0
1.15999,-0.27393,4.678174,1.650872,0
1.16022,-0.27311,4.678174,1.650872,0
1.16049,-0.27246,4.678174,1.650872,0
1.16069,-0.27169,4.678174,1.650872,0
1.16097,-0.27094,4.678174,1.650872,0
1.16137,-0.27018,4.678174,1.650872,0
1.16158,-0.26906,4.678174,1.650872,0
1.16175,-0.26807,4.678174,1.650872,0
1.16192,-0.26671,4.678174,1.650872,0
1.16196,-0.26547,4.678174,1.650872,0
1.16183,-0.26456,4.678174,1.650872,0
1.16165,-0.26404,4.678174,1.650872,0
1.16138,-0.263,4.678174,1.650872,0
1.16105,-0.26188,4.678174,1.650872,0
1.16079,-0.26128,4.678174,1.650872,0
1.16057,-0.26106,4.678174,1.650872,0
1.16047,-0.26077,4.678174,1.650872,0
1.16029,-0.26034,4.678174,1.650872,0
1.16032,-0.25985,4.678174,1.650872,0
1.16023,-0.25916,4.678174,1.650872,0
1.15974,-0.25816,4.678174,1.650872,0
1.15889,-0.25704,4.678174,1.650872,0
1.15817,-0.25598,4.678174,1.650872,0
1.15769,-0.25488,4.678174,1.650872,0
1.15741,-0.25404,4.678174,1.650872,0
1.15734,-0.2538,4.678174,1.650872,0
1.15743,-0.25369,4.678174,1.650872,0
1.15754,-0.25402,4.678174,1.650872,0
1.1578,-0.25428,4.678174,1.650872,0
1.1581,-0.25463,4.678174,1.650872,0
